index,Date,US_Dollar,Pound_Sterling,Euro,Japanese_Yen
5707,04-01-1999,42.51,70.7814,50.4872,37.4703
5706,05-01-1999,42.56,70.4473,50.2412,38.208
5705,06-01-1999,42.51,70.3235,49.9276,37.7229
5704,07-01-1999,42.52,70.3087,49.5148,38.0322
5703,08-01-1999,42.52,70.0427,49.7265,38.0799
5702,11-01-1999,42.52,69.7107,49.2465,38.384
5701,12-01-1999,42.5,69.2569,48.7948,38.1563
5700,13-01-1999,42.5,69.4734,49.1884,37.899
5699,14-01-1999,42.52,70.1066,49.5025,37.5813
5698,15-01-1999,42.47,70.4275,49.8033,37.7273
5697,18-01-1999,42.5,70.2593,49.3097,37.3329
5696,19-01-1999,42.5,70.1115,49.1666,37.0741
5695,21-01-1999,42.51,70.0771,49.2053,37.5612
5694,22-01-1999,42.51,70.2445,49.334,37.3533
5693,25-01-1999,42.51,70.3977,49.2902,37.1428
5692,27-01-1999,42.49,70.4176,48.9932,37.3949
5691,28-01-1999,42.5,69.9839,48.6808,36.7647
5690,29-01-1999,42.5,70.0084,48.5296,36.6221
5689,01-02-1999,42.5,69.891,48.2393,36.7485
5688,02-02-1999,42.5,69.8617,48.1464,37.407
5687,03-02-1999,42.48,69.4782,48.1835,37.8
5686,04-02-1999,42.46,69.541,48.0423,37.3357
5685,05-02-1999,42.47,69.8275,48.223,37.9564
5684,08-02-1999,42.47,69.3963,47.7555,37.4169
5683,09-02-1999,42.44,69.5846,48.0885,37.1142
5682,10-02-1999,42.44,69.3433,47.9478,36.8212
5681,11-02-1999,42.46,69.0703,48.0885,37.1804
5680,12-02-1999,42.45,68.88,47.7076,37.1293
5679,15-02-1999,42.42,69.2521,47.8606,37.1237
5678,16-02-1999,42.49,69.1133,47.6236,36.3782
5677,17-02-1999,42.49,69.5797,47.7259,35.9932
5676,18-02-1999,42.45,69.4927,47.8263,35.8076
5675,19-02-1999,42.44,69.43,47.5308,35.3814
5674,22-02-1999,42.4,68.7758,46.7771,34.7398
5673,23-02-1999,42.44,68.9417,46.7968,35.2638
5672,24-02-1999,42.49,68.4744,46.7333,35.0014
5671,01-03-1999,42.51,68.1106,46.7596,35.6403
5670,03-03-1999,42.55,68.686,46.4835,35.126
5669,04-03-1999,42.53,68.573,46.2642,34.7837
5668,05-03-1999,42.53,68.4416,46.0575,34.6364
5667,08-03-1999,42.5,68.1338,46.0426,34.8819
5666,09-03-1999,42.47,68.4322,46.322,35.0398
5665,10-03-1999,42.44,68.6106,46.2171,35.0122
5664,11-03-1999,42.45,69.0417,46.5246,35.4429
5663,12-03-1999,42.43,69.3049,46.7355,35.4174
5662,15-03-1999,42.42,69.056,46.2813,35.85
5661,16-03-1999,42.41,68.7238,45.9876,36.0412
5660,17-03-1999,42.42,69.0608,46.5571,35.7283
5659,19-03-1999,42.4,69.0894,46.5636,36.1468
5658,22-03-1999,42.39,68.9322,46.0596,36.0581
5657,23-03-1999,42.39,68.9988,46.2235,35.7871
5656,24-03-1999,42.4,69.3866,46.2792,36.0498
5655,26-03-1999,42.4,68.956,46.0363,35.7052
5654,30-03-1999,42.43,68.6059,45.5726,35.3245
5653,31-03-1999,42.43,68.3527,45.5208,35.326
5652,05-04-1999,42.44,68.0874,45.6704,34.9626
5651,06-04-1999,42.51,68.0133,45.6059,35.089
5650,07-04-1999,42.64,67.8334,46.0999,35.2616
5649,08-04-1999,42.67,68.2967,46.0702,35.3132
5648,09-04-1999,42.68,68.6012,45.8968,35.3182
5647,12-04-1999,42.7,68.8848,46.2428,35.4607
5646,13-04-1999,42.71,69.0084,46.1936,35.4794
5645,15-04-1999,42.83,69.0512,46.2171,36.0173
5644,16-04-1999,42.76,68.7332,45.6225,36.1898
5643,19-04-1999,42.85,69.1898,45.8358,36.2307
5642,20-04-1999,42.79,68.9988,45.6725,36.2474
5641,21-04-1999,42.71,68.8421,45.3576,35.9803
5640,22-04-1999,42.74,68.686,45.4752,35.591
5639,23-04-1999,42.74,69.0799,45.583,35.7567
5638,26-04-1999,42.95,69.3722,45.6038,36.1193
5637,28-04-1999,42.82,69.3433,45.7875,35.9681
5636,29-04-1999,42.82,69.1419,45.4649,35.9273
5635,03-05-1999,42.78,68.8658,45.2755,35.7663
5634,04-05-1999,42.75,68.9085,45.2448,35.5553
5633,05-05-1999,42.73,69.5846,45.5145,35.3282
5632,06-05-1999,42.73,69.808,45.9369,35.4767
5631,07-05-1999,42.75,70.0182,46.0766,35.4522
5630,10-05-1999,42.73,69.5943,45.8379,35.4019
5629,11-05-1999,42.72,69.4444,46.1021,35.3744
5628,12-05-1999,42.75,69.3529,45.8652,35.4081
5627,13-05-1999,42.75,69.2233,45.5664,35.2286
5626,14-05-1999,42.76,69.0465,45.5851,35.0306
5625,17-05-1999,42.74,69.0465,45.5456,35.5871
5624,18-05-1999,42.73,69.3097,45.7164,34.8091
5623,19-05-1999,42.73,69.1276,45.4794,34.5377
5622,20-05-1999,42.76,69.0322,45.6288,34.2834
5621,21-05-1999,42.75,68.7144,45.3268,34.5077
5620,24-05-1999,42.75,68.4229,45.1732,34.4757
5619,25-05-1999,42.74,68.306,45.3104,34.7681
5618,26-05-1999,42.81,68.6248,45.3597,35.1059
5617,27-05-1999,42.9,68.4416,44.9135,35.0634
5616,28-05-1999,42.99,68.7096,44.9035,35.6941
5615,31-05-1999,42.84,68.686,44.837,35.3014
5614,01-06-1999,42.87,68.6248,44.7447,35.3932
5613,02-06-1999,42.94,69.1994,44.8994,35.6511
5612,03-06-1999,42.93,68.8895,44.3754,35.2709
5611,04-06-1999,42.94,68.88,44.2929,35.3125
5610,07-06-1999,43.01,69.1754,44.2517,35.5792
5609,08-06-1999,42.98,68.8089,44.3872,35.4474
5608,09-06-1999,43.05,69.1085,45.1508,36.093
5607,10-06-1999,43.02,68.8658,45.0187,36.4747
5606,11-06-1999,43.06,69.3385,45.2468,36.2442
5605,14-06-1999,43.13,69.43,45.2714,35.7628
5604,15-06-1999,43.18,69.4637,44.9762,35.8742
5603,16-06-1999,43.19,68.738,44.9762,35.8661
5602,17-06-1999,43.17,68.7144,44.5097,35.9525
5601,18-06-1999,43.15,68.7853,44.5077,36.1405
5600,21-06-1999,43.17,68.8326,44.9055,35.4361
5599,22-06-1999,43.19,68.6483,44.6429,35.4321
5598,23-06-1999,43.24,68.7994,44.6728,35.4528
5597,24-06-1999,43.33,68.278,44.7768,35.5237
5596,25-06-1999,43.39,68.8895,45.2509,35.687
